------------------------------------V 2.0 06/21/2021 13:26:01 - Execution Starts -------------------------------------------
RegistryKeyPath,ValueName,ExpectedValue,PropertyType,CurrentValue,ComparisonResult
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\System,NoDispAppearancePage,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\System' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,DisableThumbnails,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,AlwaysShowMenus,0,DWORD,0,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,DisableThumbnails,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,FolderContentsInfoTip,1,DWORD,1,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,NavPaneShowAllFolders,1,DWORD,1,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState,FullPath,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,HideFileExt,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,Hidden,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SeparateProcess,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,PersistBrowsers,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,ShowDriveLettersFirst,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowEncryptCompressedColor,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowInfoTip,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowPreviewHandlers,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,AutoCheckSelect,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SharingWizardOn,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,TypeAhead,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,DisableThumbnails,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced,AlwaysShowMenus,0,DWORD,0,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,DisableThumbnails,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,FolderContentsInfoTip,1,DWORD,1,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,NavPaneShowAllFolders,1,DWORD,1,Success
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState,FullPath,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,HideFileExt,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SeparateProcess,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,PersistBrowsers,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,ShowDriveLettersFirst,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowEncryptCompressedColor,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowInfoTip,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowPreviewHandlers,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,AutoCheckSelect,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SharingWizardOn,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,TypeAhead,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
------------------------------------ 06/21/2021 13:26:01 - Execution Ends -------------------------------------------
